,index,lamda,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
18,2014630,0.0,0.04226607315413145,-0.019587214700630018,-0.003828624218361595,-0.001130850751526504,-0.0032104554443357536,0.0028971645640980944,0.003850338713472954,0.0023875601307926037,0.00011695094103101908,-0.0021934322800702486,-0.004214879818505439,-0.005842262533864034
19,2015430,0.005081540770385193,0.045527184350920166,-0.02300784580886737,-0.0,-0.0,-0.0,-0.027864101289123654,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,2018629,0.005126563281640821,0.04279377493208689,-0.01824795481848898,-0.0,-0.0,-0.0016936868568543364,-0.01119102053835127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,2013531,0.005342671335667834,0.047087113411584315,-0.028471252376128645,-0.0,-0.0,-0.0,-0.02993996690281101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,2015630,0.003343671835917959,0.04580785976842468,-0.030499729148448552,-0.0,-0.0,-0.0,-0.021218202222806397,-0.0022529507421912036,-0.0,-0.0,-0.0,-0.0,-0.0
23,2013930,0.004100050025012506,0.04334941455253029,-0.02432963316575129,-0.0,-0.0,-0.0,-0.013657457004532001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,2014430,6.003001500750375e-06,0.04226016729811147,-0.02036836445586503,-0.004087212074360321,-0.0,-0.0,0.0,0.0011457243082318722,0.0009280380394541507,0.0,0.0,-0.0009747010521933714,-0.006853743436189723
25,2013731,0.004988494247123562,0.04728035004164664,-0.02644820214239925,-0.0,-0.0,-0.0,-0.03090363204791375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,2015831,0.003904952476238119,0.049039024951615356,-0.03310333194260609,-0.0,-0.0,-0.0,-0.0075479425846647925,-0.02853786360778288,-0.0,-0.0,-0.0,-0.0,-0.0
27,2013228,0.005990995497748875,0.050066597268217626,-0.030303819137467245,-0.0,-0.0,-0.0,-0.04043709154260945,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,2014829,0.0,0.048162855347610736,-0.022080028364706843,-0.019918082220172852,0.0054228641396688905,-0.022826124186341154,0.010621142651491836,0.018680135934862275,0.01334108873771354,0.002889147578115246,-0.008403719194054318,-0.018570528051527785,-0.026889737938132655
